Date,Open,High,Low,Close,Adj Close,Volume,ndx_ma1,ndx_ma2,ndx_ma3,ndx_ma4,ndx_ma5,ndx_ma6,ndx_ma7,ndx_ma8,ndx_ma9,ndx_ma10,ndx_ma14,ndx_ma21,ndx_ma28
2020-04-27,8837.66015625,8837.66015625,8837.66015625,8837.66015625,8837.66015625,0,8837.66015625,8812.1298828125,8755.253255208334,8732.597412109375,8666.6779296875,8676.64990234375,8698.9013671875,8706.267456054688,8693.566623263889,8657.483984375,8512.420026506696,8238.664295014882,7999.080374581473
2020-04-28,8677.599609375,8677.599609375,8677.599609375,8677.599609375,8677.599609375,0,8677.599609375,8757.6298828125,8767.286458333334,8735.83984375,8721.5978515625,8668.498209635416,8676.785574776786,8696.238647460938,8703.082139756945,8691.969921875,8554.987130301339,8275.829520089286,8042.067853655134
2020-04-29,8982.759765625,8982.759765625,8982.759765625,8982.759765625,8982.759765625,0,8982.759765625,8830.1796875,8832.673177083334,8821.15478515625,8785.223828125,8765.124837239584,8713.39271763393,8715.032348632812,8728.074327256945,8731.04990234375,8621.662109375,8342.229027157739,8106.624267578125
2020-04-30,9000.509765625,9000.509765625,9000.509765625,9000.509765625,9000.509765625,0,9000.509765625,8991.634765625,8886.956380208334,8874.63232421875,8857.02578125,8821.104817708334,8798.751255580357,8749.282348632812,8746.752061631945,8755.31787109375,8676.731375558036,8395.15759858631,8167.766758510044
2020-05-04,8834.1103515625,8834.1103515625,8834.1103515625,8834.1103515625,8834.1103515625,0,8834.1103515625,8917.31005859375,8939.126627604166,8873.744873046875,8866.5279296875,8853.20654296875,8822.96275111607,8803.171142578125,8758.707682291666,8755.487890625,8719.27280970982,8443.758091517857,8233.474626813617
2020-05-05,8930.6201171875,8930.6201171875,8930.6201171875,8930.6201171875,8930.6201171875,0,8930.6201171875,8882.365234375,8921.746744791666,8937.0,8885.119921875,8877.2099609375,8864.265625,8836.419921875,8817.332139756945,8775.89892578125,8761.978515625,8512.535714285714,8302.178205217633
2020-05-06,8984.8603515625,8984.8603515625,8984.8603515625,8984.8603515625,8984.8603515625,0,8984.8603515625,8957.740234375,8916.5302734375,8937.525146484375,8946.5720703125,8901.743326822916,8892.588588169643,8879.339965820312,8852.913302951389,8834.0849609375,8790.04282924107,8576.78334263393,8353.286795479911
2020-05-07,9101.8798828125,9101.8798828125,9101.8798828125,9101.8798828125,9101.8798828125,0,9101.8798828125,9043.3701171875,9005.786783854166,8962.86767578125,8970.39609375,8972.456705729166,8930.334263392857,8918.75,8904.066623263889,8877.8099609375,8814.61781529018,8651.724772135416,8411.581787109375
2020-05-11,9298.919921875,9298.919921875,9298.919921875,9298.919921875,9298.919921875,0,9298.919921875,9200.39990234375,9128.553385416666,9079.070068359375,9030.078125,9025.150065104166,9019.094308035714,8976.407470703125,8960.991102430555,8943.551953125,8847.93994140625,8709.689522879464,8461.645717075893
2020-05-12,9112.4501953125,9112.4501953125,9112.4501953125,9112.4501953125,9112.4501953125,0,9112.4501953125,9205.68505859375,9171.083333333334,9124.527587890625,9085.74609375,9043.806803385416,9037.621512276786,9030.763793945312,8991.523328993055,8976.13701171875,8875.507114955357,8760.315243675595,8516.0771484375
2020-05-13,9000.080078125,9000.080078125,9000.080078125,9000.080078125,9000.080078125,0,9000.080078125,9056.26513671875,9137.150065104166,9128.33251953125,9099.6380859375,9071.468424479166,9037.560128348214,9032.928833007812,9027.3544921875,8992.37900390625,8918.155691964286,8797.007626488095,8555.758231026786
2020-05-15,9152.6396484375,9152.6396484375,9152.6396484375,9152.6396484375,9152.6396484375,0,9152.6396484375,9076.35986328125,9088.389973958334,9141.0224609375,9133.1939453125,9108.4716796875,9083.06431361607,9051.945068359375,9046.230034722223,9039.8830078125,8953.01353236607,8840.536644345239,8603.584647042411
2020-05-18,9331.9296875,9331.9296875,9331.9296875,9331.9296875,9331.9296875,0,9331.9296875,9242.28466796875,9161.5498046875,9149.27490234375,9179.20390625,9166.316569010416,9140.394252232143,9114.172485351562,9083.054470486111,9074.8,9002.32993861607,8888.117094494048,8669.50034877232
2020-05-19,9298.5400390625,9298.5400390625,9298.5400390625,9298.5400390625,9298.5400390625,0,9298.5400390625,9315.23486328125,9261.036458333334,9195.79736328125,9179.1279296875,9199.09326171875,9185.205636160714,9160.162475585938,9134.657769097223,9104.60302734375,9038.89711216518,8921.763764880952,8728.888916015625
2020-05-20,9485.01953125,9485.01953125,9485.01953125,9485.01953125,9485.01953125,0,9485.01953125,9391.77978515625,9371.829752604166,9317.0322265625,9253.641796875,9230.10986328125,9239.939871651786,9222.682373046875,9196.257703993055,9169.6939453125,9085.13706752232,8956.391834077382,8798.778547014508
2020-05-21,9377.990234375,9377.990234375,9377.990234375,9377.990234375,9377.990234375,0,9377.990234375,9431.5048828125,9387.183268229166,9373.369873046875,9329.223828125,9274.366536458334,9251.235630580357,9257.196166992188,9239.938802083334,9214.43095703125,9135.164969308036,8982.371837797618,8845.076049804688
2020-05-22,9413.990234375,9413.990234375,9413.990234375,9413.990234375,9413.990234375,0,9413.990234375,9395.990234375,9425.666666666666,9393.885009765625,9381.4939453125,9343.3515625,9294.312779017857,9271.579956054688,9274.617730034723,9257.3439453125,9165.96714564732,9015.10900297619,8893.814627511161
2020-05-26,9389.98046875,9389.98046875,9389.98046875,9389.98046875,9389.98046875,0,9389.98046875,9401.9853515625,9393.986979166666,9416.7451171875,9393.1041015625,9382.908365885416,9350.01283482143,9306.271240234375,9284.735568576389,9286.15400390625,9193.78648158482,9062.108072916666,8935.25892857143
2020-05-27,9442.0498046875,9442.0498046875,9442.0498046875,9442.0498046875,9442.0498046875,0,9442.0498046875,9416.01513671875,9415.340169270834,9406.002685546875,9421.8060546875,9401.26171875,9391.357142857143,9361.517456054688,9321.357747395834,9300.4669921875,9237.210728236607,9099.12806919643,8978.241768973214
